Order	Open time	Type	Lots	Symbol	Open price	StopLoss	TakeProfit	Close time	Close price	Profit in points	Balance in points	Comment	Magic
15979563	2009.07.21 15:06	sell	0.1	EURUSD	1.4236	1.4263	0	2009.07.21 15:08	1.4263	-27	669	[sl]	0
15979695	2009.07.21 15:08	buy	0.1	EURUSD	1.4264	0	0	2009.07.21 15:14	1.4263	-1	668		0
15980982	2009.07.21 15:45	buy	0.1	EURUSD	1.4245	1.4234	0	2009.07.21 15:52	1.4234	-11	657	[sl]	0
15981408	2009.07.21 15:58	buy	0.1	EURUSD	1.4242	1.423	0	2009.07.21 16:02	1.423	-12	645	[sl]	0
16012434	2009.07.22 22:33	buy	0.1	EURUSD	1.4223	1.4207	0	2009.07.22 23:35	1.4207	-16	629	[sl]	0
16013505	2009.07.23 00:34	buy	0.1	EURUSD	1.421	1.421	0	2009.07.23 12:35	1.421	0	629	[sl]	1001
16021720	2009.07.23 12:57	buy	0.1	EURUSD	1.4203	1.4192	1.4303	2009.07.23 15:14	1.4192	-11	618	[sl]	0
16035545	2009.07.23 22:13	buy	0.1	EURUSD	1.4167	1.4153	0	2009.07.23 22:20	1.4153	-14	604	[sl]	0
16068195	2009.07.27 13:36	sell	0.1	EURUSD	1.4282	1.4236	0	2009.07.27 20:24	1.4236	46	650	[sl]	0
16083058	2009.07.28 07:49	buy	0.1	EURUSD	1.4277	1.4256	0	2009.07.28 13:20	1.4256	-21	629	[sl]	0
16093712	2009.07.28 15:00	sell	0.1	EURUSD	1.423	1.419	0	2009.07.28 15:32	1.419	40	669	[sl]	0
16189984	2009.07.30 07:57	sell	0.1	EURUSD	1.4068	1.4089	0	2009.07.30 08:52	1.4089	-21	648	[sl]	0
16208524	2009.07.30 11:13	sell	0.1	EURUSD	1.4079	1.407	0	2009.07.30 17:05	1.4066	13	661		1001
16252788	2009.07.30 19:51	sell	0.1	EURUSD	1.4081	1.4098	0	2009.07.31 03:17	1.4098	-17	644	[sl]	0
